start_date,start_time,end_date,end_time,total_hours_used,pc_user
Thursday 16 March 2023, 4:52:49 pm,Thursday 16 March 2023, 6:52:32 pm,1 hours 59 minutes 43 seconds,atik
Saturday 18 March 2023, 10:26:16 am,Saturday 18 March 2023, 10:36:10 am,0 hours 9 minutes 53 seconds,atik
Saturday 18 March 2023, 10:26:16 am,Saturday 18 March 2023, 11:02:27 am,0 hours 36 minutes 10 seconds,atik
Saturday 18 March 2023, 10:26:16 am,Saturday 18 March 2023, 11:07:04 am,0 hours 40 minutes 47 seconds,atik
Saturday 18 March 2023, 10:26:16 am,Saturday 18 March 2023, 0:23:52 pm,1 hours 57 minutes 36 seconds,atik
Monday 20 March 2023, 0:06:23 pm,Monday 20 March 2023, 1:21:13 pm,1 hours 14 minutes 50 seconds,atik
Monday 20 March 2023, 0:06:23 pm,Monday 20 March 2023, 1:22:22 pm,1 hours 15 minutes 59 seconds,atik
